Type,Details,Product,Date,Before,Change,Balance
Bonus,Sports Profit Boost Awarded: 10DOUBMLPBT906,Sportsbook,"Sep 8, 2024, 12:51pm ET",0,1,1
Wallet transfer,Transfer in from NY to OH,Sportsbook,"Sep 8, 2024, 12:51pm ET",$0.00,#ERROR!,$135.54
Wallet transfer,Transfer out from OH,Sportsbook,"Sep 5, 2024, 9:24pm ET",$81.84,-$81.84,$0.00
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00240604363) (2 of 2),Sportsbook,"Aug 22, 2024, 7:10pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00240604363) (1 of 2),Sportsbook,"Aug 22, 2024, 7:10pm ET",$91.84,-$10.00,$81.84
Bonus,Sports Profit Boost Awarded: 10MLBLIVPB0820,Sportsbook,"Aug 22, 2024, 7:09pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jul 22, 2024, 2:04am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Jul 22, 2024, 2:00am ET",2,-1,1
Bonus,Sports Profit Boost Awarded: 10MLBPBTRS721,Sportsbook,"Jul 21, 2024, 2:17pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10MLBPBTRS721,Sportsbook,"Jul 21, 2024, 2:17pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jul 20, 2024, 2:03am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Jul 20, 2024, 2:02am ET",2,-1,1
Bonus,Sports Profit Boost Awarded: 10GOLFPBT0719,Sportsbook,"Jul 19, 2024, 5:16pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10MLBLIVEPB719,Sportsbook,"Jul 19, 2024, 5:16pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jul 15, 2024, 2:12am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Jul 15, 2024, 2:08am ET",2,-1,1
Bonus,Automated expiry,Sportsbook,"Jul 14, 2024, 12:09am ET",3,-1,2
Bonus,Automated expiry,Sportsbook,"Jul 14, 2024, 12:06am ET",4,-1,3
Bonus,Automated expiry,Sportsbook,"Jul 14, 2024, 12:04am ET",5,-1,4
Bonus,Sports Profit Boost Awarded: 10SOCCERSGP713,Sportsbook,"Jul 13, 2024, 8:49pm ET",4,1,5
Bonus,Sports Profit Boost Awarded: 10WIMPBTRS0713,Sportsbook,"Jul 13, 2024, 5:08pm ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10WIMPBTRS0713,Sportsbook,"Jul 13, 2024, 5:08pm ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10MLBRSPBT0713,Sportsbook,"Jul 13, 2024, 5:08pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10MLBRSPBT0713,Sportsbook,"Jul 13, 2024, 5:08pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jul 12, 2024, 12:08am ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00226575964) (2 of 2),Sportsbook,"Jul 10, 2024, 1:09pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00226575964) (1 of 2),Sportsbook,"Jul 10, 2024, 1:09pm ET",$101.84,-$10.00,$91.84
Bonus,Sports Profit Boost Awarded: 10WIMPBTRS0711,Sportsbook,"Jul 10, 2024, 1:04pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10WIMPBTRS0711,Sportsbook,"Jul 10, 2024, 1:04pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jul 10, 2024, 2:03am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Jul 10, 2024, 12:18am ET",2,-1,1
Bonus,Automated expiry,Sportsbook,"Jul 10, 2024, 12:11am ET",3,-1,2
Bonus,Automated expiry,Sportsbook,"Jul 10, 2024, 12:08am ET",4,-1,3
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000087),Sportsbook,"Jul 9, 2024, 4:53pm ET",$84.84,#ERROR!,$101.84
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000086),Sportsbook,"Jul 9, 2024, 4:53pm ET",$65.91,#ERROR!,$84.84
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00226349683),Sportsbook,"Jul 9, 2024, 3:17pm ET",$70.91,-$5.00,$65.91
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00226347325),Sportsbook,"Jul 9, 2024, 3:06pm ET",$80.91,-$10.00,$70.91
Bonus,Sports Profit Boost Awarded: 10TENWIMRS78,Sportsbook,"Jul 9, 2024, 3:05pm ET",3,1,4
Bonus,Sports Profit Boost Awarded: 10TENWIMRS78,Sportsbook,"Jul 9, 2024, 3:05pm ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10SOCCERSGP709,Sportsbook,"Jul 9, 2024, 3:05pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10BBANYPAR709,Sportsbook,"Jul 9, 2024, 3:05pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jul 6, 2024, 2:03am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Jul 6, 2024, 12:05am ET",2,-1,1
Bonus,Sports Profit Boost Awarded: 10MLBSGPPBT705,Sportsbook,"Jul 5, 2024, 7:01pm ET",1,1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00225363438) (2 of 2),Sportsbook,"Jul 5, 2024, 12:11pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00225363438) (1 of 2),Sportsbook,"Jul 5, 2024, 12:11pm ET",$90.91,-$10.00,$80.91
Bonus,Sports Profit Boost Awarded: 10SOCPBTRS705,Sportsbook,"Jul 5, 2024, 11:34am ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10SOCPBTRS705,Sportsbook,"Jul 5, 2024, 11:34am ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jul 5, 2024, 2:23am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Jul 5, 2024, 2:20am ET",2,-1,1
Bonus,Automated expiry,Sportsbook,"Jul 5, 2024, 2:13am ET",3,-1,2
Bonus,Automated expiry,Sportsbook,"Jul 5, 2024, 2:10am ET",4,-1,3
Bonus,Automated expiry,Sportsbook,"Jul 5, 2024, 12:07am ET",5,-1,4
Bonus,Automated expiry,Sportsbook,"Jul 5, 2024, 12:05am ET",6,-1,5
Bonus,Sports Profit Boost Awarded: 10TENWIMRS73,Sportsbook,"Jul 4, 2024, 1:09pm ET",5,1,6
Bonus,Sports Profit Boost Awarded: 10TENWIMRS73,Sportsbook,"Jul 4, 2024, 1:09pm ET",4,1,5
Bonus,Sports Profit Boost Awarded: 104THPBTRS0704,Sportsbook,"Jul 4, 2024, 1:09pm ET",3,1,4
Bonus,Sports Profit Boost Awarded: 104THPBTRS0704,Sportsbook,"Jul 4, 2024, 1:09pm ET",2,1,3
Bonus,Sports Profit Boost Awarded: 104THPBTRS0704,Sportsbook,"Jul 4, 2024, 1:09pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 104THPBTRS0704,Sportsbook,"Jul 4, 2024, 1:09pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jun 24, 2024, 12:20am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Jun 24, 2024, 12:06am ET",2,-1,1
Bonus,Automated expiry,Sportsbook,"Jun 24, 2024, 12:03am ET",3,-1,2
Bonus,Sports Profit Boost Awarded: 10MLBSGPPB0623,Sportsbook,"Jun 23, 2024, 1:39pm ET",2,1,3
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000084),Sportsbook,"Jun 22, 2024, 4:50pm ET",$74.85,#ERROR!,$90.91
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00222109900) (2 of 2),Sportsbook,"Jun 22, 2024, 12:21pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00222109900) (1 of 2),Sportsbook,"Jun 22, 2024, 12:21pm ET",$84.85,-$10.00,$74.85
Bonus,Sports Profit Boost Awarded: 10SOCPBRS0623,Sportsbook,"Jun 22, 2024, 12:18pm ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10SOCPBRS0623,Sportsbook,"Jun 22, 2024, 12:18pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10SOCPBRS0623,Sportsbook,"Jun 22, 2024, 12:18pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jun 19, 2024, 12:08am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Jun 19, 2024, 12:05am ET",2,-1,1
Bonus,Sports Profit Boost Awarded: 10SOCPBTRS617,Sportsbook,"Jun 17, 2024, 6:35pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10SOCPBTRS617,Sportsbook,"Jun 17, 2024, 6:35pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jun 17, 2024, 2:20am ET",2,-2,0
Bonus,Automated expiry,Sportsbook,"Jun 16, 2024, 8:01pm ET",3,-1,2
Bonus,Sports Profit Boost Awarded: 10USOPEN24RD4,Sportsbook,"Jun 16, 2024, 11:56am ET",2,1,3
Bonus,Sports Profit Boost Awarded: 10SOCSGPPB0616,Sportsbook,"Jun 15, 2024, 1:37pm ET",0,2,2
Bonus,Automated expiry,Sportsbook,"Jun 15, 2024, 2:07am ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10NBASGPPBT614,Sportsbook,"Jun 14, 2024, 7:36pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Jun 10, 2024, 2:23am ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10NBAFSGPPB609,Sportsbook,"Jun 9, 2024, 8:46pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00218042174) (2 of 2),Sportsbook,"Jun 6, 2024, 9:04pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00218042174) (1 of 2),Sportsbook,"Jun 6, 2024, 9:04pm ET",$94.85,-$10.00,$84.85
Bonus,Sports Profit Boost Awarded: 10BSNBAPBT0604,Sportsbook,"Jun 6, 2024, 7:03pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"May 17, 2024, 2:05am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"May 17, 2024, 2:01am ET",2,-1,1
Bonus,Sports Profit Boost Awarded: 10NBARWDSTK516,Sportsbook,"May 16, 2024, 9:19pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10NBARWDSTK516,Sportsbook,"May 16, 2024, 9:19pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"May 16, 2024, 2:11am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"May 15, 2024, 2:10am ET",2,-1,1
Bonus,Sports Profit Boost Awarded: 10NBASGPPBT514,Sportsbook,"May 14, 2024, 7:05pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10WNBAPBT0515,Sportsbook,"May 14, 2024, 1:35pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"May 9, 2024, 2:09am ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10NBABSPBT508,Sportsbook,"May 8, 2024, 7:02pm ET",0,1,1
Wallet transfer,Transfer in from IN to OH,Sportsbook,"May 8, 2024, 7:02pm ET",$0.00,#ERROR!,$94.85
Wallet transfer,Transfer out from OH,Sportsbook,"May 3, 2024, 11:00pm ET",$94.85,-$94.85,$0.00
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000082),Sportsbook,"May 2, 2024, 12:28am ET",$80.09,#ERROR!,$94.85
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00206843646) (2 of 2),Sportsbook,"May 2, 2024, 12:02am ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00206843646) (1 of 2),Sportsbook,"May 2, 2024, 12:02am ET",$90.09,-$10.00,$80.09
Bonus,Sports Profit Boost Awarded: 10NBABSPBT0501,Sportsbook,"May 1, 2024, 9:53pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"May 1, 2024, 7:00pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00206437405) (2 of 2),Sportsbook,"Apr 30, 2024, 8:39pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00206437405) (1 of 2),Sportsbook,"Apr 30, 2024, 8:39pm ET",$100.09,-$10.00,$90.09
Bonus,Sports Profit Boost Awarded: 10SOCPARPBT430,Sportsbook,"Apr 30, 2024, 8:28pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10NBASGPPBT0430,Sportsbook,"Apr 30, 2024, 8:27pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Apr 30, 2024, 2:01am ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10NBASGPPBT0429,Sportsbook,"Apr 29, 2024, 8:23pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000080),Sportsbook,"Apr 29, 2024, 12:29am ET",$77.99,#ERROR!,$100.09
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00205782444) (2 of 2),Sportsbook,"Apr 28, 2024, 10:07pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00205782444) (1 of 2),Sportsbook,"Apr 28, 2024, 10:07pm ET",$87.99,-$10.00,$77.99
Bonus,Sports Profit Boost Awarded: 10NBALIVEPB428,Sportsbook,"Apr 28, 2024, 8:18pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Apr 21, 2024, 8:02pm ET",1,-1,0
Bonus,Sports Profit Boost Awarded: 10RBCGOLFPBT420,Sportsbook,"Apr 21, 2024, 3:30pm ET",0,1,1
Wallet transfer,Transfer in from NJ to OH,Sportsbook,"Apr 13, 2024, 5:57pm ET",$0.00,#ERROR!,$87.99
Wallet transfer,Transfer out from OH,Sportsbook,"Apr 8, 2024, 7:57pm ET",$81.97,-$81.97,$0.00
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00197362465) (2 of 2),Sportsbook,"Apr 7, 2024, 3:41pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00197362465) (1 of 2),Sportsbook,"Apr 7, 2024, 3:41pm ET",$91.97,-$10.00,$81.97
Bonus,Sports Profit Boost Awarded: 10WCBBANYPBT407,Sportsbook,"Apr 7, 2024, 2:48pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000078),Sportsbook,"Apr 6, 2024, 11:04pm ET",$77.21,#ERROR!,$91.97
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00197100977) (2 of 2),Sportsbook,"Apr 6, 2024, 10:53pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00197100977) (1 of 2),Sportsbook,"Apr 6, 2024, 10:53pm ET",$87.21,-$10.00,$77.21
Bonus,Sports Profit Boost Awarded: 10CBBANYPBT406,Sportsbook,"Apr 6, 2024, 9:09pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00196596864) (2 of 2),Sportsbook,"Apr 5, 2024, 10:07pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00196596864) (1 of 2),Sportsbook,"Apr 5, 2024, 10:07pm ET",$97.21,-$10.00,$87.21
Bonus,Sports Profit Boost Awarded: 10WCBBANYPBT405,Sportsbook,"Apr 5, 2024, 9:44pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000076),Sportsbook,"Apr 4, 2024, 9:14pm ET",$84.71,#ERROR!,$97.21
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00196095387),Sportsbook,"Apr 4, 2024, 8:56pm ET",$89.71,-$5.00,$84.71
Bonus,Automated expiry,Sportsbook,"Apr 4, 2024, 2:07am ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00195602305),Sportsbook,"Apr 3, 2024, 6:22pm ET",$99.71,-$10.00,$89.71
Bonus,Sports Profit Boost Awarded: 10MLBSGPPBT0403,Sportsbook,"Apr 3, 2024, 6:08pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Apr 1, 2024, 2:05am ET",1,-1,0
Bonus,Automated expiry,Sportsbook,"Apr 1, 2024, 2:02am ET",2,-1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000074),Sportsbook,"Mar 31, 2024, 7:35pm ET",$77.41,#ERROR!,$99.71
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00194411450) (2 of 2),Sportsbook,"Mar 31, 2024, 6:33pm ET",3,-1,2
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00194411450) (1 of 2),Sportsbook,"Mar 31, 2024, 6:33pm ET",$87.41,-$10.00,$77.41
Bonus,Sports Profit Boost Awarded: MLBSNB3312410,Sportsbook,"Mar 31, 2024, 1:04pm ET",2,1,3
Bonus,Sports Profit Boost Awarded: MLBSNB3312410,Sportsbook,"Mar 31, 2024, 1:04pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10CBBANYPBT0331,Sportsbook,"Mar 31, 2024, 1:04pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000073),Sportsbook,"Mar 30, 2024, 11:09pm ET",$62.01,#ERROR!,$87.41
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00193954136) (2 of 2),Sportsbook,"Mar 30, 2024, 9:18pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00193954136) (1 of 2),Sportsbook,"Mar 30, 2024, 9:18pm ET",$72.01,-$10.00,$62.01
Bonus,Sports Profit Boost Awarded: 10CBBANYPBT0330,Sportsbook,"Mar 30, 2024, 3:32pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00193467841),Sportsbook,"Mar 29, 2024, 10:44pm ET",$82.01,-$10.00,$72.01
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00193464295),Sportsbook,"Mar 29, 2024, 10:35pm ET",$92.01,-$10.00,$82.01
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00193287359) (2 of 2),Sportsbook,"Mar 29, 2024, 6:55pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00193287359) (1 of 2),Sportsbook,"Mar 29, 2024, 6:55pm ET",$102.01,-$10.00,$92.01
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000069),Sportsbook,"Mar 29, 2024, 3:20pm ET",$81.81,#ERROR!,$102.01
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00193135935) (2 of 2),Sportsbook,"Mar 29, 2024, 2:54pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00193135935) (1 of 2),Sportsbook,"Mar 29, 2024, 2:54pm ET",$91.81,-$10.00,$81.81
Bonus,Sports Profit Boost Awarded: 10MLBPBT0329,Sportsbook,"Mar 29, 2024, 2:49pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10CBBANYPBT0329,Sportsbook,"Mar 29, 2024, 2:49pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000067),Sportsbook,"Mar 29, 2024, 12:37am ET",$70.31,#ERROR!,$91.81
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00192932955),Sportsbook,"Mar 28, 2024, 10:56pm ET",$75.31,-$5.00,$70.31
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00192932029) (2 of 2),Sportsbook,"Mar 28, 2024, 10:53pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00192932029) (1 of 2),Sportsbook,"Mar 28, 2024, 10:53pm ET",$85.31,-$10.00,$75.31
Winnings,Sports: Bet Settled (Bet ID: O/0867147/0000066),Sportsbook,"Mar 28, 2024, 10:22pm ET",$64.71,#ERROR!,$85.31
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00192872312) (2 of 2),Sportsbook,"Mar 28, 2024, 9:10pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00192872312) (1 of 2),Sportsbook,"Mar 28, 2024, 9:10pm ET",$74.71,-$10.00,$64.71
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00192806467),Sportsbook,"Mar 28, 2024, 7:28pm ET",$89.71,-$15.00,$74.71
Bonus,Sports Profit Boost Awarded: 10MLBPBT0328,Sportsbook,"Mar 28, 2024, 6:06pm ET",1,1,2
Bonus,Sports Profit Boost Awarded: 10CBBANYPBT0328,Sportsbook,"Mar 28, 2024, 6:06pm ET",0,1,1
Wallet transfer,Transfer in from MA to OH,Sportsbook,"Mar 28, 2024, 6:05pm ET",$0.00,#ERROR!,$89.71
Wallet transfer,Transfer out from OH,Sportsbook,"Jan 27, 2024, 10:25am ET",$85.42,-$85.42,$0.00
Bonus,Automated expiry,Sportsbook,"Jan 14, 2024, 12:03am ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00159097542),Sportsbook,"Jan 13, 2024, 7:03pm ET",$100.42,-$15.00,$85.42
Wager,Sports: Bet Placed (Transaction ID: S/0867147/00158684015),Sportsbook,"Jan 13, 2024, 12:51pm ET",$110.42,-$10.00,$100.42
Bonus,Sports Profit Boost Awarded: 10NFLLIVEPB0113,Sportsbook,"Jan 13, 2024, 9:06am ET",0,1,1
Type,Details,Product,Date,Before,Change,Balance
Wallet transfer,Transfer out from CO,Sportsbook,"Mar 24, 2024, 3:00pm ET",$99.71,-$99.71,$0.00
Wager,Sports: Bet Placed (Transaction ID: S/0538822/00102500627) (2 of 2),Sportsbook,"Mar 13, 2024, 3:38pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0538822/00102500627) (1 of 2),Sportsbook,"Mar 13, 2024, 3:38pm ET",$109.71,-$10.00,$99.71
Bonus,Sports Profit Boost Awarded: 10BBCBBRE031324,Sportsbook,"Mar 13, 2024, 9:02am ET",0,1,1
Wallet transfer,Transfer in from NJ to CO,Sportsbook,"Mar 13, 2024, 9:01am ET",$0.00,#ERROR!,$109.71
Wallet transfer,Transfer out from CT,Sportsbook,"Dec 27, 2025, 7:14pm ET",$463.75,-$463.75,$0.00
Bonus,Automated expiry,Sportsbook,"Dec 26, 2025, 2:01am ET",0,-1,-1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00117545662) (2 of 2),Sportsbook,"Dec 25, 2025, 8:20pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00117545662) (1 of 2),Sportsbook,"Dec 25, 2025, 8:20pm ET",$473.75,-$10.00,$463.75
Bonus,Sports Profit Boost Token awarded: 10NFLPTLPB1222,Sportsbook,"Dec 25, 2025, 8:11pm ET",1,1,2
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00117529337) (2 of 2),Sportsbook,"Dec 25, 2025, 7:03pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00117529337) (1 of 2),Sportsbook,"Dec 25, 2025, 7:03pm ET",$483.75,-$10.00,$473.75
Bonus,Sports Profit Boost Token awarded: 10TWOPBRS1225,Sportsbook,"Dec 25, 2025, 5:21pm ET",1,1,2
Bonus,Sports Profit Boost Token awarded: 10TWOPBRS1225,Sportsbook,"Dec 25, 2025, 5:21pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00117282854) (2 of 2),Sportsbook,"Dec 22, 2025, 9:22pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00117282854) (1 of 2),Sportsbook,"Dec 22, 2025, 9:22pm ET",$493.75,-$10.00,$483.75
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00117262297) (2 of 2),Sportsbook,"Dec 22, 2025, 7:35pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00117262297) (1 of 2),Sportsbook,"Dec 22, 2025, 7:35pm ET",$503.75,-$10.00,$493.75
Bonus,Sports Profit Boost Token awarded: 10NFLPB1222,Sportsbook,"Dec 22, 2025, 7:13pm ET",1,1,2
Bonus,Sports Profit Boost Token awarded: SBW12222025A,Sportsbook,"Dec 22, 2025, 7:12pm ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00117125529) (2 of 2),Sportsbook,"Dec 21, 2025, 1:49pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00117125529) (1 of 2),Sportsbook,"Dec 21, 2025, 1:49pm ET",$513.75,-$10.00,$503.75
Bonus,Sports Profit Boost Token awarded: SBW12212025A,Sportsbook,"Dec 21, 2025, 1:42pm ET",0,1,1
Bonus,Automated expiry,Sportsbook,"Dec 21, 2025, 12:22am ET",0,-1,-1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00116947936) (2 of 2),Sportsbook,"Dec 20, 2025, 2:34pm ET",2,-1,1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00116947936) (1 of 2),Sportsbook,"Dec 20, 2025, 2:34pm ET",$523.75,-$10.00,$513.75
Bonus,Sports Profit Boost Token awarded: 10CFBPBT1220,Sportsbook,"Dec 20, 2025, 2:32pm ET",1,1,2
Bonus,Sports Profit Boost Token awarded: SBW12202025A,Sportsbook,"Dec 20, 2025, 2:32pm ET",0,1,1
Wallet transfer,Transfer in from OH to CT,Sportsbook,"Dec 20, 2025, 2:25pm ET",$0.00,#ERROR!,$523.75
Wallet transfer,Transfer out from CT,Sportsbook,"Jan 2, 2025, 4:27pm ET",$220.88,-$220.88,$0.00
Bonus,Automated expiry,Sportsbook,"Dec 26, 2024, 3:29am ET",2,-2,0
Bonus,Automated expiry,Sportsbook,"Dec 26, 2024, 3:07am ET",3,-1,2
Bonus,Sports Profit Boost Awarded: 10ANYLIVPB1225,Sportsbook,"Dec 25, 2024, 10:31am ET",1,2,3
Bonus,No sweat token award 5ANYSGPNST1225,Sportsbook,"Dec 25, 2024, 10:30am ET",0,1,1
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00083065880),Sportsbook,"Dec 24, 2024, 11:41pm ET",$230.88,-$10.00,$220.88
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00083012482) (2 of 2),Sportsbook,"Dec 23, 2024, 8:20pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00083012482) (1 of 2),Sportsbook,"Dec 23, 2024, 8:20pm ET",$240.88,-$10.00,$230.88
Bonus,Sports Profit Boost Awarded: 10NFLLIVPB1223,Sportsbook,"Dec 23, 2024, 5:44pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0360615/0000019),Sportsbook,"Dec 22, 2024, 11:29pm ET",$213.48,#ERROR!,$240.88
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082932210),Sportsbook,"Dec 22, 2024, 8:27pm ET",$223.48,-$10.00,$213.48
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082894515),Sportsbook,"Dec 22, 2024, 5:03pm ET",$233.48,-$10.00,$223.48
Winnings,Sports: Bet Settled (Bet ID: O/0360615/0000017),Sportsbook,"Dec 22, 2024, 3:52pm ET",$208.80,#ERROR!,$233.48
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082824074) (2 of 2),Sportsbook,"Dec 22, 2024, 12:36pm ET",1,-1,0
Wager,Sports: Bet Placed (Transaction ID: S/0360615/00082824074) (1 of 2),Sportsbook,"Dec 22, 2024, 12:36pm ET",$218.80,-$10.00,$208.80
Bonus,Sports Profit Boost Awarded: 10NFLSGPPBT1222,Sportsbook,"Dec 22, 2024, 12:27pm ET",0,1,1
Winnings,Sports: Bet Settled (Bet ID: O/0360615/0000013),Sportsbook,"Dec 21, 2024, 11:37pm ET",$187.99,#ERROR!,$218.80
Winnings,Sports: Bet Settled (Bet ID: O/0360615/0000016),Sportsbook,"Dec 21, 2024, 11:37pm ET",$179.31,#ERROR!,$187.99
